ID,Absent
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,1
509,1
510,0
511,1
512,0
513,0
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,1
526,1
527,1
528,0
529,1
530,1
531,1
532,1
533,0
534,0
535,1
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,1
544,1
545,0
546,0
547,1
548,0
549,1
550,1
551,1
552,1
553,0
554,0
555,0
556,1
557,0
558,0
559,1
560,0
561,0
562,1
563,1
564,0
565,1
566,1
567,0
568,0
569,0
570,1
571,1
572,1
573,0
574,0
575,1
576,0
577,1
578,1
579,0
580,1
581,0
582,0
583,1
584,0
585,0
586,1
587,0
588,1
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,0
601,1
602,0
603,0
604,1
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,0
633,0
634,0
635,1
636,1
637,0
638,1
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,1
653,0
654,0
655,1
656,1
657,0
658,0
659,1
660,0
661,1
662,1
663,0
664,0
665,1
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,1
674,0
675,0
676,0
677,0
678,1
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,0
691,1
692,1
693,1
694,1
695,0
696,1
697,1
698,1
699,0
700,0
701,0
702,1
703,0
704,1
705,1
706,1
707,1
708,0
709,0
710,1
711,1
712,0
713,0
714,0
715,1
716,1
717,0
718,1
719,0
720,1
721,0
722,0
723,1
724,1
725,0
726,0
727,0
728,1
729,0
730,1
731,0
732,0
733,0
734,0
735,1
736,1
737,1
738,1
739,1
740,1
