ID,Absent
501,0
502,1
503,1
504,1
505,1
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,0
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,1
564,0
565,0
566,1
567,0
568,0
569,0
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,0
578,1
579,1
580,1
581,1
582,0
583,1
584,0
585,0
586,1
587,0
588,1
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,1
602,0
603,0
604,0
605,1
606,0
607,0
608,0
609,1
610,0
611,0
612,0
613,1
614,0
615,0
616,0
617,0
618,1
619,0
620,0
621,1
622,1
623,1
624,1
625,0
626,0
627,0
628,1
629,0
630,0
631,1
632,1
633,0
634,1
635,1
636,1
637,0
638,1
639,1
640,0
641,1
642,1
643,0
644,0
645,0
646,0
647,0
648,1
649,1
650,0
651,0
652,1
653,1
654,1
655,0
656,1
657,0
658,1
659,0
660,1
661,1
662,1
663,0
664,0
665,0
666,0
667,1
668,0
669,1
670,1
671,0
672,0
673,1
674,1
675,1
676,0
677,1
678,0
679,0
680,1
681,0
682,0
683,1
684,0
685,1
686,0
687,1
688,0
689,0
690,1
691,0
692,1
693,1
694,1
695,0
696,1
697,0
698,0
699,0
700,0
701,1
702,0
703,1
704,1
705,1
706,0
707,1
708,1
709,0
710,0
711,0
712,0
713,0
714,1
715,0
716,0
717,0
718,1
719,0
720,1
721,1
722,0
723,1
724,1
725,0
726,1
727,0
728,1
729,1
730,1
731,1
732,1
733,0
734,1
735,1
736,1
737,1
738,0
739,0
740,0
